trade_id,direction,armed_time,entry_time,entry_price,stop_price,target_price,risk,swept_level_price,swept_level_source,sweep_extreme,fvg_top,fvg_bottom,midnight_open,bias,result,exit_time,exit_price,r_gained,pnl,points_gained
20200519-ea14b6,LONG,2020-05-19 07:30,2020-05-19 09:30,9324.19,9303.55,9378.12,20.64,9301.91,ASIAN,9296.95,9322.19,9321.83,9319.7,BULLISH,WIN,2020-05-19 09:55,9378.12,2.612,2612.49,53.93
20200521-875245,LONG,2020-05-21 07:30,2020-05-21 10:05,9443.08,9422.2,9497.73,20.88,9427.88,ASIAN,9418.25,9441.17,9436.29,9446.12,BULLISH,LOSS,2020-05-21 10:30,9420.2,-1.096,-1095.78,-22.88
20200522-29a8ad,SHORT,2020-05-22 09:35,2020-05-22 09:45,9356.2,9376.92,9302.05,20.72,9352.75,PREV_WEEK,9374.39,9358.65,9358.2,9304.65,BEARISH,LOSS,2020-05-22 09:50,9378.92,-1.097,-1096.54,-22.72
20200601-4250ef,LONG,2020-06-01 07:30,2020-06-01 08:30,9523.31,9502.27,9578.44,21.04,9509.6,ASIAN,9498.17,9521.31,9519.59,9545.91,BULLISH,WIN,2020-06-01 10:05,9578.44,2.62,2619.82,55.13
20200608-ac6180,LONG,2020-06-08 07:30,2020-06-08 08:50,9821.41,9799.77,9878.33,21.64,9808.9,PREV_DAY,9799.79,9820.36,9819.21,9840.13,BULLISH,LOSS,2020-06-08 09:30,9797.77,-1.092,-1092.43,-23.64
20200610-d953d4,LONG,2020-06-10 09:40,2020-06-10 10:55,10024.42,10002.38,10082.56,22.04,9982.1,ASIAN,9976.94,10026.66,10014.08,10009.7,BULLISH,WIN,2020-06-10 14:00,10082.56,2.637,2637.1,58.13
20200611-33eb6b,SHORT,2020-06-11 07:30,2020-06-11 09:25,9936.06,9957.94,9878.43,21.88,9875.74,PREV_WEEK,9960.63,9943.4,9933.64,10025.47,BEARISH,WIN,2020-06-11 09:35,9878.43,2.634,2634.3,57.63
20200612-8d4eb8,SHORT,2020-06-12 07:55,2020-06-12 08:40,9762.1,9783.63,9705.52,21.53,9721.81,ASIAN,9783.6,9769.5,9764.1,9716.97,BEARISH,LOSS,2020-06-12 09:15,9785.63,-1.093,-1092.9,-23.53
20200615-1695c7,SHORT,2020-06-15 10:35,2020-06-15 10:45,9602.05,9623.26,9546.43,21.21,9596.66,PREV_DAY,9636.31,9604.98,9603.94,9575.52,BEARISH,LOSS,2020-06-15 10:50,9625.26,-1.094,-1094.3,-23.21
20200618-87c479,SHORT,2020-06-18 07:30,2020-06-18 08:45,9985.64,10007.62,9927.71,21.98,9968.16,ASIAN,10000.22,9993.69,9987.64,9946.58,BEARISH,LOSS,2020-06-18 11:00,10009.62,-1.091,-1091.01,-23.98
20200624-f26845,LONG,2020-06-24 07:30,2020-06-24 09:50,10158.89,10136.58,10217.83,22.31,10190.5,ASIAN,10142.12,10156.89,10156.47,10225.18,BULLISH,LOSS,2020-06-24 09:55,10134.58,-1.09,-1089.63,-24.31
20200625-d1a31a,SHORT,2020-06-25 07:30,2020-06-25 09:30,10025.2,10047.25,9967.04,22.05,10042.2,ASIAN,10052.72,10046.73,10022.6,9995.86,BEARISH,WIN,2020-06-25 09:40,9967.04,2.637,2637.26,58.16
20200629-c64a01,SHORT,2020-06-29 08:25,2020-06-29 10:35,9878.47,9900.24,9821.19,21.76,9893.1,PREV_DAY,9898.49,9882.23,9871.59,9844.32,BEARISH,LOSS,2020-06-29 11:25,9902.24,-1.092,-1091.91,-23.76
20200630-e19018,SHORT,2020-06-30 07:45,2020-06-30 09:35,9998.17,10020.17,9940.17,22.0,10032.3,PREV_DAY,10037.8,10000.25,10000.17,10017.81,BEARISH,LOSS,2020-06-30 09:40,10022.17,-1.091,-1090.91,-24.0
